Customer_ID,Product_01,Product_02,Product_03,Product_04,Product_05,Product_06,Product_07,Product_08,Product_09,Product_10,Product_11,Product_12
K100010,F,F,T,F,T,T,F,F,F,F,T,F
K100020,T,F,F,F,F,T,T,F,F,F,F,F
K100030,T,T,F,T,F,F,F,T,T,T,F,T
K100040,T,T,F,T,F,F,F,F,F,F,F,F
K100070,F,F,T,F,F,T,F,F,F,F,F,F
K100080,F,F,F,F,F,F,F,F,T,F,F,F
K100090,F,F,F,F,F,F,F,T,T,F,F,F
K100100,T,T,F,T,F,F,F,F,F,F,F,F
K100110,F,F,F,T,F,F,F,F,F,F,F,F
K100120,F,F,F,F,F,F,F,F,F,F,F,T
K100130,F,T,T,F,T,F,F,F,T,F,F,F
K100140,F,F,F,F,F,F,F,T,F,F,F,T
K100150,F,T,T,T,F,F,T,F,F,F,F,F
K100160,F,F,F,F,F,F,F,F,F,F,T,F
K100180,F,F,F,F,F,T,F,T,F,T,F,F
K100200,F,F,F,F,F,T,T,F,F,F,F,F
K100220,F,F,F,F,T,F,F,F,F,F,F,F
K100230,F,F,F,F,F,F,F,F,F,F,T,F
K100240,F,F,F,F,F,F,F,F,T,F,F,F
K100260,F,F,F,F,F,F,F,T,T,F,F,T
K100270,T,T,F,F,F,F,F,F,F,T,F,F
K100280,F,F,F,F,F,F,F,F,F,F,T,F
K100290,F,T,F,F,F,F,T,T,F,F,F,F
K100310,T,F,T,T,F,F,F,T,T,F,T,F
K100320,T,T,F,T,F,F,F,T,F,T,F,F
K100330,F,F,T,F,F,F,F,F,F,F,F,F
K100340,F,F,F,F,T,F,T,F,T,T,F,F
K100360,F,T,T,T,F,F,F,F,F,F,F,T
K100370,F,T,F,F,T,F,F,T,F,F,F,F
K100380,F,T,F,T,F,F,F,F,F,F,F,F
K100390,F,T,T,F,F,F,F,F,F,F,F,F
K100410,F,F,F,F,F,F,F,T,F,T,F,T
K100420,F,F,F,F,F,F,F,F,F,T,T,F
K100430,F,F,F,F,T,F,T,F,F,T,F,F
K100460,T,F,T,T,F,F,F,F,F,F,F,F
K100470,F,F,F,F,F,F,T,F,F,F,F,F
K100480,F,F,F,F,F,F,F,F,F,T,T,F
K100490,F,F,F,F,F,F,F,F,F,F,F,T
K100510,F,F,F,F,F,F,F,T,F,F,F,F
K100520,F,F,F,F,F,F,F,F,F,F,F,T
K100530,F,F,F,F,F,F,F,F,F,F,T,F
K100540,T,F,F,T,F,F,F,F,F,F,F,F
K100550,F,F,T,F,F,F,F,F,T,F,F,F
K100560,F,F,F,F,T,T,F,F,F,F,F,F
K100570,F,F,F,F,F,T,T,F,F,F,F,F
K100580,F,F,F,F,F,F,T,F,F,F,F,F
K100590,T,T,T,F,F,F,F,F,F,F,F,F
K100600,F,F,F,F,F,F,F,T,F,F,F,F
K100620,F,F,F,F,F,F,F,T,T,T,F,F
K100640,F,F,F,F,F,T,T,F,F,F,F,F
K100650,F,T,F,F,F,F,F,F,F,F,F,T
K100660,F,F,F,F,F,T,F,F,F,F,F,F
K100690,T,F,T,T,T,T,F,T,T,F,T,F
K100700,F,F,F,F,T,F,T,T,F,F,T,F
