Customer_ID,Gender,Age,Connect_Date,L_O_S,Dropped_Calls,Pay Method,tariff,Churn,Handset
'K100010','M',46,'18/07/99',15.066667,1,'Pre Pay','CAT 50','Churned','SOP10'
'K100020','M',27,'18/09/97',37.333333,0,'Pre Pay','CAT 50','Churned','SOP10'
'K100030','M',39,'23/08/96',50.366667,2,'Pre Pay','CAT 50','Churned','SOP20'
'K100040','M',28,'18/08/98',26.200000,2,'Pre Pay','CAT 50','Churned','SOP10'
'K100050','M',47,'11/08/98',26.433333,0,'Pre Pay','CAT 50','Churned','SOP10'
'K100060','M',29,'06/07/97',39.800000,1,'Pre Pay','CAT 50','Churned','SOP10'
'K100070','M',38,'14/10/99',12.133333,1,'Pre Pay','CAT 50','Churned','SOP20'
'K100080','M',27,'20/01/98',33.200000,0,'Pre Pay','CAT 50','Churned','SOP20'
'K100090','M',38,'31/05/96',53.166667,1,'Pre Pay','CAT 50','Churned','SOP20'
'K100100','M',48,'28/07/96',51.233333,0,'Pre Pay','CAT 50','Churned','SOP20'
'K100110','M',34,'11/12/98',22.366667,2,'Pre Pay','CAT 50','Churned','SOP20'
'K100120','M',32,'06/11/97',35.700000,0,'Pre Pay','CAT 50','Churned','SOP20'
'K100130','M',45,'15/12/96',46.566667,2,'Pre Pay','CAT 50','Churned','SOP20'
'K100140','M',29,'24/03/99',18.933333,1,'Pre Pay','CAT 50','Churned','SOP20'
'K100150','M',30,'28/07/98',26.900000,2,'Pre Pay','CAT 50','Churned','SOP20'
'K100160','M',28,'18/07/99',15.066667,9,'Pre Pay','CAT 50','Churned','SOP20'
'K100170','M',26,'28/06/97',40.066667,1,'Pre Pay','CAT 50','Churned','SOP10'
'K100180','M',37,'26/06/98',27.966667,1,'Pre Pay','CAT 50','Churned','SOP10'
'K100190','M',38,'06/08/97',38.766667,2,'Pre Pay','CAT 50','Churned','SOP10'
'K100200','M',46,'09/10/96',48.800000,0,'Pre Pay','CAT 50','Churned','SOP10'
'K100210','M',30,'12/12/96',46.666667,2,'Pre Pay','CAT 50','Churned','SOP20'
'K100220','M',28,'21/04/99',18.000000,9,'Pre Pay','CAT 50','Churned','SOP20'
'K100230','M',33,'20/07/98',27.166667,2,'Pre Pay','CAT 50','Churned','SOP10'
'K100240','M',39,'28/03/99',18.800000,0,'Pre Pay','CAT 50','Churned','SOP10'
'K100250','M',28,'22/05/96',53.466667,0,'Pre Pay','CAT 50','Churned','SOP20'
'K100260','M',42,'21/01/98',33.166667,1,'Pre Pay','CAT 50','Churned','SOP10'
'K100270','M',44,'01/05/98',29.833333,2,'Pre Pay','CAT 50','Active','SOP20'
'K100280','M',46,'16/09/97',37.400000,0,'Pre Pay','CAT 50','Churned','SOP10'
'K100290','M',27,'18/02/99',20.066667,0,'Pre Pay','CAT 50','Churned','SOP20'
'K100300','M',30,'27/06/96',52.266667,8,'Pre Pay','CAT 50','Churned','SOP20'
'K100310','M',34,'19/04/98',30.233333,11,'Pre Pay','CAT 50','Churned','SOP20'
'K100320','M',34,'13/04/97',42.600000,1,'Pre Pay','CAT 50','Churned','SOP10'
'K100330','M',26,'19/02/97',44.366667,1,'Pre Pay','CAT 50','Churned','SOP10'
'K100340','M',50,'06/02/96',57.000000,0,'Pre Pay','CAT 50','Churned','SOP20'
'K100350','M',37,'20/04/98',30.200000,2,'Pre Pay','CAT 50','Churned','SOP10'
'K100360','M',30,'10/01/97',45.700000,6,'Pre Pay','CAT 50','Churned','SOP10'
'K100370','M',45,'14/06/97',40.533333,0,'Pre Pay','CAT 50','Churned','SOP20'
'K100380','M',39,'23/12/98',21.966667,2,'Pre Pay','CAT 50','Churned','SOP20'
'K100390','M',35,'13/07/99',15.233333,1,'Pre Pay','CAT 50','Churned','SOP10'
'K100400','M',50,'19/06/98',28.200000,0,'Pre Pay','CAT 50','Churned','SOP20'
'K100410','M',45,'18/08/96',50.533333,7,'Pre Pay','CAT 50','Churned','SOP20'
'K100420','M',31,'20/05/98',29.200000,1,'Pre Pay','CAT 50','Churned','SOP10'
'K100430','M',35,'12/06/98',28.433333,0,'Pre Pay','CAT 50','Churned','SOP10'
'K100440','M',27,'17/04/97',42.466667,2,'Pre Pay','CAT 50','Churned','SOP20'
'K100450','M',32,'08/08/98',26.533333,0,'Pre Pay','CAT 50','Churned','SOP20'
'K100460','M',39,'01/08/97',38.933333,1,'Pre Pay','CAT 50','Churned','SOP10'
'K100470','M',29,'20/07/99',15.000000,1,'Pre Pay','CAT 50','Churned','SOP10'
'K100480','M',35,'02/11/98',23.666667,11,'Pre Pay','CAT 50','Churned','SOP10'
'K100490','M',35,'20/12/96',46.400000,9,'Pre Pay','CAT 50','Churned','SOP20'
'K100500','M',50,'12/12/96',46.666667,2,'Pre Pay','CAT 50','Active','SOP20'
'K100510','M',33,'01/08/98',26.766667,0,'Pre Pay','CAT 50','Churned','SOP20'
'K100520','M',28,'27/08/97',38.066667,1,'Pre Pay','CAT 50','Churned','SOP10'
'K100530','M',37,'18/01/99',21.100000,2,'Pre Pay','CAT 50','Churned','SOP20'
'K100540','M',39,'03/09/96',50.000000,0,'Pre Pay','CAT 50','Churned','SOP10'
'K100550','M',27,'14/07/97',39.533333,1,'Pre Pay','CAT 50','Churned','SOP10'
